NIS,NIS_code,unemployed,foreigners,euforeigners,noneuforeigners,degree,bornabroad,borneu,bornnoneu,density,age,NL,FR,Reg_NL,income
33041,33041,0.0298,0.0118,0.0078,0.004,0.1954,0.0272,0.0172,0.01,97.41,41.11435434,Vleteren,Vleteren,Vlaams Gewest,14168
33029,33029,0.0496,0.0493,0.0412,0.0081,0.198,0.0712,0.0531,0.0181,419.1,41.579611126,Wervik,Wervik,Vlaams Gewest,15404
33011,33011,0.0495,0.0341,0.0172,0.0169,0.2472,0.0561,0.0281,0.0279,269.64,42.940286626,Ieper,Ypres,Vlaams Gewest,16395
33037,33037,0.0317,0.012,0.0088,0.0032,0.2194,0.0276,0.019,0.0086,182.28,40.522748897,Zonnebeke,Zonnebeke,Vlaams Gewest,15766
44001,44001,0.0276,0.0185,0.0102,0.0083,0.3098,0.0324,0.0154,0.017,240.9,41.3381656,Aalter,Aalter,Vlaams Gewest,18928
44012,44012,0.0214,0.0171,0.0121,0.005,0.4873,0.0412,0.0198,0.0214,572.17,42.727438641,De Pinte,De Pinte,Vlaams Gewest,23611
44011,44011,0.0302,0.0278,0.0165,0.0113,0.2999,0.0464,0.0212,0.0251,391.25,41.828995872,Deinze,Deinze,Vlaams Gewest,18274
44013,44013,0.0331,0.0286,0.0194,0.0092,0.3604,0.0539,0.0248,0.0291,665.24,42.760375679,Destelbergen,Destelbergen,Vlaams Gewest,20890
44019,44019,0.0349,0.0185,0.0126,0.006,0.2245,0.0363,0.0203,0.016,443.46,42.115787476,Evergem,Evergem,Vlaams Gewest,18438
44021,44021,0.0762,0.1201,0.0604,0.0598,0.361,0.1787,0.0576,0.1211,1590.19,40.016253617,Gent,Gand,Vlaams Gewest,17189
44020,44020,0.0301,0.0133,0.008,0.0053,0.2832,0.0257,0.014,0.0117,397.4,41.87990292,Gavere,Gavere,Vlaams Gewest,19610
44029,44029,0.0379,0.0191,0.0142,0.0049,0.2136,0.0287,0.0166,0.0121,219.64,42.171440494,Knesselare,Knesselare,Vlaams Gewest,16946
44034,44034,0.0286,0.0169,0.0112,0.0058,0.3029,0.0329,0.017,0.0159,358.21,40.666705314,Lochristi,Lochristi,Vlaams Gewest,19584
44036,44036,0.0339,0.0241,0.0156,0.0085,0.321,0.0421,0.0227,0.0194,487.66,43.714645806,Lovendegem,Lovendegem,Vlaams Gewest,20495
44040,44040,0.034,0.0272,0.0143,0.0129,0.3647,0.0463,0.0188,0.0276,715.1,41.894323455,Melle,Melle,Vlaams Gewest,19558
44043,44043,0.0312,0.0241,0.0165,0.0076,0.3608,0.0441,0.0215,0.0226,638.58,41.488043809,Merelbeke,Merelbeke,Vlaams Gewest,20509
